hour,weekday,month,holiday,precipitation_mm,visibility_km,temperature_c,wind_speed_kmh,traffic_density,num_lanes,ilumination,work_zone,num_accidents
4,1,2,0,0,10,10.3,66.5,2,4,1,0,1
5,1,12,0,0,9.7,9.5,37,2,2,0,0,2
7,2,8,0,0,10.2,26.6,39.7,9,3,1,0,2
19,1,5,1,0,9.9,22.5,64,7,2,1,0,4
7,6,8,0,0,9.9,25.2,33.7,3,2,1,0,0
3,6,12,0,0,9.6,8.3,74.7,3,2,1,0,2
6,6,3,0,0,10,8.9,25.9,3,2,1,0,2
15,4,9,1,0,9.7,19.1,38.6,4,2,1,0,2
11,0,9,0,0,10,18.2,78.6,5,3,1,0,1
2,2,4,0,0,10.3,16.9,29.9,1,3,1,0,4
4,0,12,0,0,9.8,6.4,18,1,3,1,0,1
20,1,5,0,0,10.4,17.7,11.2,3,3,1,0,3
15,2,9,0,21.5,6.1,26,16.2,6,2,1,1,6
11,4,7,0,0,10.4,22.6,57.4,6,4,1,0,2
14,0,3,1,0,9.9,11.1,51.1,4,4,1,0,2
4,4,6,0,0,9.7,19.9,66.2,2,3,0,0,6
4,6,2,0,0,9.9,6.7,61.4,4,3,1,0,3
22,5,11,0,0,9.7,16.9,71.3,2,3,1,0,4
9,3,12,0,0,10.3,12.6,6.6,9,4,1,1,5
4,3,9,0,6.6,8.5,19.3,29,2,3,0,0,1
6,5,9,0,0,10.1,18.7,57.7,3,3,1,0,4
0,0,1,0,0,9.8,6.7,51.5,2,2,1,0,2
21,3,5,0,0,9.7,18.3,41.8,3,2,1,0,3
11,4,9,0,0,9.6,21.6,12.7,5,3,1,0,6
5,3,9,0,0,10,18.7,35.4,2,2,1,0,0
15,4,11,0,0.9,9.4,10.1,23.8,6,3,1,0,2
17,2,2,0,0,10,12.6,56.1,9,2,1,0,5
16,3,9,1,35.8,3.9,22.2,13.4,5,2,1,0,5
16,4,8,0,0,10.3,24.9,60.6,7,3,1,0,5
18,4,4,0,0,9.7,16,55.8,10,2,1,0,4
13,1,7,0,0,10.3,29.4,78.6,6,2,1,0,4
5,3,9,0,0,10.3,23.8,57.9,2,3,1,0,0
9,1,5,0,0,10.2,18.9,43.2,8,4,1,0,2
12,6,6,0,0,9.8,21.3,64.3,7,3,1,0,3
17,5,5,0,0,10.1,16.9,60.3,6,4,1,0,4
17,1,7,0,0,10,27.2,68,9,3,1,0,7
5,0,7,0,0,10.2,29,26.1,1,3,1,0,1
20,4,9,0,0,10.4,21.7,17.4,2,2,1,0,2
10,6,5,0,0,9.7,21.8,80.7,8,3,1,0,1
4,3,6,0,19.5,6.4,21.1,29.7,2,3,1,0,1
3,3,5,0,0,10.4,22.1,69.3,2,4,0,0,2
4,3,12,0,0,10.2,13.3,68.2,3,2,1,0,4
18,0,1,0,0,9.7,9.3,14.8,10,3,1,0,2
16,3,1,0,0,10,5.5,41.6,7,4,1,1,1
6,4,2,1,0,9.6,14,84.1,1,3,1,1,8
12,3,2,0,0,10,11.2,31.3,5,3,1,0,0
7,6,1,0,0,10,10.8,38.2,3,2,1,0,3
3,0,11,0,0,10.4,9.1,18.5,1,2,1,0,1
1,3,8,0,0,10.4,22.5,45.4,2,4,1,0,2
4,5,9,0,0,9.6,25.6,79.2,4,4,1,0,1
20,5,7,0,0,9.9,23.2,33.9,4,3,1,0,2
14,0,9,0,0,10,21.1,22.9,6,2,1,0,1
23,6,4,1,0,10.1,11.3,6.6,3,3,1,0,4
6,5,2,0,0,10.4,11.6,63.3,3,2,1,0,3
8,2,9,0,0,10.3,23.8,68.5,8,2,1,0,3
8,4,10,0,0,9.7,16.6,34.2,9,3,1,0,7
11,1,3,0,0,10.4,12.3,57.8,5,2,1,0,0
21,0,1,0,0,9.7,10.7,0.8,3,3,1,0,3
17,4,7,1,0,9.8,29.8,1.5,8,4,1,0,6
11,2,7,1,0,10,23.9,62.8,4,2,1,0,2
12,3,9,0,0,10.2,18.7,76.1,6,3,1,0,1
16,0,4,0,0,10.4,14.8,4.2,5,3,1,0,1
10,0,4,0,0,10.2,14.2,6.9,5,2,1,0,3
23,1,12,0,0,10.5,6.4,39.3,3,3,1,0,3
14,3,4,0,0,9.9,16.4,59.5,5,3,1,0,1
8,1,7,0,0,10.2,24.5,9.6,7,3,1,0,2
13,3,9,0,0,9.5,20.8,8.4,6,3,1,0,0
13,3,2,0,0,10.5,7.9,46.9,6,2,1,0,1
2,1,7,0,0,10.3,24.9,85,2,3,1,0,1
12,2,10,0,0,9.9,17.4,74.1,6,3,1,0,2
10,1,7,0,0,10.2,25.9,51.8,5,3,1,0,3
17,1,11,0,36.5,3.9,10.7,71.8,10,2,1,0,8
19,3,10,0,0,10.4,19.5,48.9,10,3,1,0,4
21,2,3,0,49.2,1.3,11.2,67.7,4,3,1,0,6
21,4,12,0,1.7,9.3,9.3,86.6,2,4,1,0,1
15,2,8,0,0,10,22.5,4,6,2,1,0,2
23,1,9,0,0,10.1,25.7,20.9,2,2,1,0,3
13,3,1,0,37.7,3.5,5.5,9.2,7,2,1,0,1
21,6,8,0,0,10.1,26.9,52.8,3,3,1,0,1
19,4,2,0,12.3,7.4,9,12.7,9,3,1,0,7
4,1,6,0,0,10.4,26.6,43.6,1,3,0,0,4
2,4,1,0,2.1,9.3,7.3,70.3,2,3,1,0,3
1,6,12,0,21.5,6.4,11.2,22.3,4,2,1,0,7
22,4,11,0,0,10.3,15.5,72.5,2,3,1,0,3
16,5,2,0,0,9.9,6.5,25,6,4,1,0,4
15,1,10,0,0,9.9,14.6,71.5,7,3,1,0,4
0,6,12,0,0,10.1,11.6,76.5,4,3,1,0,3
18,1,10,0,0,10.4,20.1,4.1,9,3,1,1,8
8,0,11,0,33.4,4.1,9.4,56.3,8,2,1,0,2
2,1,10,0,0,9.5,19.6,73.5,3,3,1,0,1
3,0,6,0,0,9.9,25.5,78.7,2,4,1,0,0
20,1,8,0,0,10.2,29.4,55.4,3,2,1,1,0
3,4,12,0,0,9.8,7.1,24.9,1,3,1,0,2
21,2,4,0,0,10.2,13.4,4.9,4,2,1,0,1
16,0,6,0,0,10.4,23.5,32.9,6,3,1,0,1
2,0,5,0,0,10.4,18.2,25.8,2,3,1,0,2
2,2,2,0,40.5,2.7,9.1,57.1,3,4,1,0,5
19,4,1,0,0,10.2,6,63.7,9,2,1,0,6
23,0,1,0,0,10,7.1,87.8,2,3,1,0,3
3,4,11,0,25.7,4.9,15.9,22,2,3,0,0,5
7,3,12,0,0,10.1,7,60.6,7,2,1,0,3
9,6,5,0,0,9.5,16.6,50.7,7,3,1,0,7
13,0,4,0,0,10.2,11.1,30.2,7,3,1,0,1
16,1,7,0,49.8,1.2,22.7,82.9,7,3,1,0,8
21,1,4,0,0,10.4,14.1,74.9,3,3,1,1,3
5,3,8,0,0,9.9,28.2,40.7,2,2,1,0,0
22,5,10,1,0,9.8,14.7,22.3,2,3,1,0,5
3,3,2,0,1.1,10.1,13.9,11.8,3,3,1,0,0
18,2,2,1,45.2,1.8,7,81.5,8,3,1,0,10
14,1,1,0,0,10.1,9,79.5,6,2,1,0,1
16,1,11,0,0,9.5,12.1,64.2,6,3,1,0,2
0,2,10,0,0,10.3,14.5,89.2,2,3,0,0,2
23,0,4,0,0,9.9,18.5,89.2,1,2,1,0,2
22,2,10,0,0,9.7,21.9,79.3,2,3,1,1,2
15,0,6,0,0,9.6,24.7,82.7,7,3,1,1,2
3,6,9,0,0,9.9,25.5,35.6,2,3,1,0,3
10,1,12,0,0,10.4,12.3,20.1,6,2,1,0,1
5,5,1,0,0,9.9,13,86.9,2,3,1,0,2
15,1,6,0,0,10.5,20.3,79.7,5,4,1,0,2
6,1,12,1,5.8,8.5,9.1,65.9,3,3,1,0,2
15,6,10,0,0,9.7,14.6,76.1,6,3,1,0,1
12,1,12,1,0,10.5,8.7,88.7,5,4,1,1,4
6,1,7,0,0,10.2,24.1,25.3,2,2,1,0,1
1,2,1,0,33.3,4.1,6.6,2.3,1,3,0,0,4
20,4,7,0,0,9.9,25.6,23.7,3,2,1,0,1
22,5,2,0,0,10,13.8,53.1,3,3,1,0,5
22,0,9,0,0,10.1,25.9,13.3,3,3,1,0,2
13,0,11,0,0,10.1,15.7,23.2,7,2,1,1,5
22,4,10,0,0,9.9,15.2,52.9,3,2,0,0,1
17,2,7,0,0,10.1,25.8,15.5,9,3,1,0,1
10,5,4,1,0,9.8,14,30.4,6,3,1,0,2
7,1,5,0,0,10.3,17.2,37.5,8,2,1,0,4
1,4,3,1,0,9.9,14.2,47.2,2,2,1,0,4
8,2,8,0,0,9.6,22.2,33.5,8,2,1,0,4
22,0,5,1,42.8,2.6,16.7,19.9,1,2,1,0,0
21,0,8,0,0,10.1,22.1,22.7,4,3,1,0,1
11,3,5,0,0,10,20,52.6,5,4,1,0,3
21,0,8,1,0,10.1,28.9,23.5,2,4,1,0,5
21,1,12,1,0,9.8,13.3,36.4,2,3,1,0,0
23,5,4,0,0,10,18.5,32.3,3,2,1,0,1
4,5,5,0,0,10.4,22.6,81,3,2,1,0,3
9,3,2,0,0,10.1,13.6,6.4,9,3,1,0,4
6,2,7,0,0,10.5,23.1,77.6,2,2,1,0,1
20,0,1,0,38.8,3.1,6.3,70.7,4,2,1,0,4
6,5,6,0,0,10.3,23.2,1.6,2,4,1,0,2
12,4,10,0,2.8,9.9,17.6,46.8,6,3,1,0,3
6,1,7,1,0,10.5,23.7,2,2,2,1,0,1
20,2,9,0,0,9.5,18.9,75.3,2,2,1,0,1
15,5,3,0,0,9.5,11.4,9.1,6,3,1,0,2
23,4,2,0,0,10,10.9,70,3,2,1,0,3
15,2,4,1,0,10.4,17.7,60.2,3,2,1,0,0
23,0,5,0,0,10.5,17.1,4.5,3,2,0,0,2
1,0,3,0,18.2,6.7,13,79.1,1,3,1,0,6
3,1,12,0,0,10.3,6.8,82,2,3,1,0,2
21,6,12,0,46.1,1.3,9.3,4.1,3,3,1,0,9
23,1,8,0,0,9.9,28.7,50.3,3,2,1,0,2
5,0,8,0,0,9.8,26.1,49.5,2,2,1,0,1
15,3,6,0,0,10.2,19.8,37.1,6,2,1,0,4
20,5,8,0,0,9.6,23.8,40.9,3,3,1,0,2
3,6,11,0,0,10.3,16.7,26.3,3,4,1,0,4
6,1,2,0,0,10,12.3,64.5,2,3,1,1,2
14,3,11,0,0,10.5,9,66.3,6,3,1,0,3
18,1,12,0,33,4.2,8.6,79.3,9,3,1,0,9
22,4,6,0,0,10.1,20.6,56.2,2,3,0,0,4
22,0,6,0,0,10.4,24.7,60.7,3,3,1,0,2
4,0,11,1,39.4,3.4,14.5,13.2,1,3,1,0,5
20,4,7,0,0,10.3,24.3,59.8,4,3,1,0,3
23,2,4,0,0,10.4,17.6,82,2,4,1,0,3
14,1,11,1,0,10.2,10,3.7,4,3,1,0,1
10,3,12,0,46.5,1.7,12.2,56.3,7,3,1,0,5
2,6,9,0,0,9.9,20.8,79.5,3,3,1,0,5
21,2,8,0,0,10.4,24,3.6,4,3,0,0,2
16,6,6,0,0,10,21.4,58.6,6,2,1,0,1
17,4,1,0,31.7,4,10.5,75.2,8,4,1,0,5
22,2,1,0,39.8,2.9,9.6,20.5,2,3,1,0,2
0,5,12,0,0,10.1,11.6,6.5,4,2,1,0,3
21,0,8,0,0,10.2,28.4,76.5,3,4,1,0,5
17,1,2,1,0,9.9,10.4,7.7,6,4,1,0,4
7,4,5,0,0,10.3,21.8,76.6,9,3,1,0,2
3,1,12,0,0,9.9,11.4,21.1,2,2,0,0,3
18,4,6,0,0,9.7,21.5,70.7,9,4,1,0,6
17,0,3,0,14.4,7.7,15.1,17.7,9,4,1,1,1
16,5,1,0,0,10.3,6.7,3.3,6,3,1,0,2
18,5,5,0,0,9.6,17.9,1,5,3,1,0,2
18,4,11,0,36.7,3.8,9.3,68.5,8,3,1,0,5
1,0,11,0,0,10,15.6,75.1,2,3,1,0,3
8,3,4,0,0,10.4,14.9,43.4,8,3,1,0,3
4,1,3,0,0,9.6,9.8,73,2,3,1,0,3
4,4,10,0,0,9.5,18.6,5,2,2,1,0,6
19,3,8,0,0,10.1,28.4,73.8,8,4,1,0,4
12,3,3,0,43,2.3,11.4,13.5,5,3,1,0,4
21,1,10,0,46.9,1.7,17.5,37.9,4,4,1,0,7
4,2,8,0,0,9.6,26.8,48.9,2,2,1,0,1
0,3,11,0,0,9.9,9.9,38.3,2,3,0,0,3
13,4,9,0,0,10.1,20,27.6,6,4,1,0,1
3,5,4,0,0,9.7,12.7,36.1,3,3,1,0,0
12,5,1,0,0,10,9.8,7.9,7,3,1,1,1
12,4,11,0,0,10.1,16.6,73.8,6,3,1,1,7
21,0,6,0,8.3,9,25.2,31.8,3,3,1,1,6
8,1,10,0,0,9.9,14,15.8,8,3,1,1,13
14,4,1,0,19.4,6.8,6.8,63.1,7,3,1,0,1
8,1,5,0,0,10.3,15.6,83.8,8,3,1,0,4
23,1,4,0,0,9.7,12.6,22.5,2,2,1,0,0
21,3,10,1,0,10.5,20.8,33.4,2,3,0,0,3
18,1,1,0,0,10.4,5.3,31.3,10,2,1,0,2
0,0,11,0,0,9.8,13.9,23.4,2,2,1,0,1
13,1,7,0,0,10.4,24.2,16.2,5,3,1,0,4
6,1,12,0,0,9.7,10,89.6,4,3,1,0,2
18,0,7,0,0,9.7,24,75.5,8,4,1,0,4
3,2,11,0,29,4.9,10.4,70.2,2,4,1,0,3
4,6,3,0,0,9.9,12.9,36.4,4,2,1,0,1
8,4,11,0,0,10.3,16.5,67.3,8,3,1,0,1
23,1,11,0,0,10.2,10.7,35.7,1,3,1,1,2
8,4,3,0,0,9.9,9.8,66.4,8,2,1,0,2
10,6,8,0,0,10.4,26.4,12.2,8,3,1,0,4
20,4,5,0,0,9.7,15.7,27.7,3,2,1,0,0
4,2,5,0,46.1,2.1,18.8,0.8,2,3,1,0,4
22,5,11,0,0,9.8,12.4,21.6,4,3,1,0,4
5,1,5,0,0,10,20.6,44.3,2,2,1,0,0
3,2,5,0,0,9.5,15.7,1.3,1,3,1,0,3
4,0,5,0,23.8,5.4,21.7,73.6,3,2,0,0,6
21,1,8,0,0,10.4,23.3,65.5,3,3,1,0,1
1,6,11,0,31.8,4.1,10.3,24.8,2,2,1,1,5
2,5,10,0,0,10.3,14.5,32,2,3,1,0,5
6,0,12,0,0,9.8,6.3,63.6,3,3,1,0,1
11,2,12,0,0,10.1,12.9,14.4,6,3,1,0,1
0,6,11,0,0,10.4,14,32.8,3,3,1,0,3
17,1,10,0,0,9.8,14.8,59.3,8,2,1,0,0
3,3,4,0,0,10.3,16.3,47.3,2,3,1,0,1
6,5,8,0,0,10,27.1,32.5,3,3,1,0,1
19,2,9,1,15.5,7.7,25.7,8.7,7,3,1,0,8
21,3,12,0,0,9.7,7.4,36.1,3,2,1,0,5
20,3,12,0,27.5,4.9,10.4,67,3,3,1,0,7
7,1,6,1,0,10.2,21.2,49.8,6,3,1,0,1
4,2,6,0,0,9.8,21.4,51.3,2,2,1,0,1
22,5,10,0,32.3,3.7,20.5,34.3,4,3,1,0,6
20,3,1,0,27.2,4.8,9,19.9,2,4,1,0,3
13,2,7,0,0,10,28,49.3,6,3,1,0,1
4,3,9,0,0,10.1,22.5,89.7,2,2,1,0,2
21,3,7,0,0,9.8,27.2,69.3,2,3,1,0,1
1,6,4,0,0,10.3,17.8,10.1,2,3,0,0,1
22,6,2,0,0,9.8,11.9,19.1,3,3,1,0,5
8,1,1,0,0,10.1,5.4,58.9,7,3,1,0,3
9,6,11,0,0,10,14.7,81.3,7,3,1,0,4
7,4,5,0,0,9.7,17.8,31.7,8,2,1,0,2
8,3,1,0,0,9.7,7.7,35.4,7,4,1,0,4
4,3,5,0,0,10,16.7,12.5,2,2,0,0,2
4,5,10,0,0,10.1,21.6,10.7,3,2,1,0,3
20,5,5,0,0,9.6,15.2,88.7,3,3,1,0,1
21,0,6,1,0,9.6,25.8,42.2,2,2,0,0,1
1,3,1,0,0,9.7,10.4,18.3,1,2,0,0,3
7,3,7,0,0,10.3,27.8,35.5,9,3,1,0,6
7,4,9,0,0,10.1,22.1,56.8,7,3,1,0,4
1,5,9,0,0,10.1,18.7,45.1,2,3,0,0,2
5,3,10,0,0,10.4,14.7,29.2,2,4,1,0,0
3,5,8,0,35.5,3.8,29.8,55.1,2,3,1,0,5
22,0,7,0,0,10.5,24.3,16.3,3,2,1,0,0
15,6,8,0,44.2,1.8,26.7,42.8,6,2,1,0,2
20,4,4,1,32.8,3.6,17.8,60,3,3,1,0,1
5,1,11,0,0,10.2,13.6,50.6,3,4,1,0,0
9,2,6,0,0,10.3,25.7,5.8,8,2,1,0,3
19,0,2,0,0,10,6.7,65.2,9,4,1,0,5
18,3,9,0,0,10.3,25.1,20.9,9,2,1,1,2
6,6,10,0,0,9.8,18.5,57.4,2,2,1,0,0
2,2,5,0,0,9.5,20.5,30.7,2,3,0,0,4
1,5,3,0,0,10.4,12.3,30.2,4,3,0,1,4
18,5,6,0,0,9.9,26.8,25.2,5,3,1,0,7
1,2,7,0,0,9.9,28.6,27.2,2,2,1,0,3
15,4,3,0,0,10.2,12.2,69.8,5,2,1,0,2
23,0,8,0,0,9.6,24.5,4,3,2,1,0,0
21,5,5,1,0,10.1,16.7,18,2,3,1,0,1
8,0,1,0,0,9.6,9.3,49.4,8,4,1,0,2
10,4,8,1,45.2,1.4,25.1,7.8,4,4,1,0,12
22,3,2,0,0,10.2,9.7,20.9,1,3,1,0,0
21,2,6,0,24,5.5,22.7,15.4,4,3,1,0,2
17,5,2,0,0,9.9,9.3,55.9,6,3,1,0,7
21,5,2,0,0,10.3,6.9,53.6,3,2,1,0,1
3,5,10,0,0,10,19.3,8.1,4,3,0,0,0
4,5,3,0,0,10.1,11.6,18.5,4,3,1,0,4
2,4,1,0,0,10.3,11.8,5.6,3,2,1,0,2
0,1,7,0,0,9.8,25.1,34.3,2,4,1,0,3
9,6,11,0,32.6,3.8,16.1,59.2,8,2,1,1,8
14,3,6,0,0,9.5,23,65.8,6,3,1,0,4
3,4,8,0,36.6,3.4,28.9,67.6,2,3,1,0,4
20,4,10,0,17.5,7.1,17.8,46.1,3,4,1,0,3
22,4,12,0,0,9.8,11,52,2,4,0,0,2
16,0,5,0,0,9.8,17.1,66.7,6,3,1,0,2
22,1,8,0,0,9.5,29.9,87.1,2,2,1,0,2
23,5,3,0,0,9.8,13.1,68,2,2,1,0,5
8,1,9,0,46.4,1.6,23.4,86.6,8,2,1,0,9
14,6,11,0,0,10.1,10.6,30.4,7,2,1,0,0
0,6,2,1,5.6,8.9,7.8,25.5,1,2,1,1,4
3,0,10,0,0,10.4,18.5,87,3,4,1,0,1
14,2,7,0,0,10.3,24.1,70.3,6,2,1,0,1
8,1,8,1,0,9.7,25.1,58.1,5,3,1,0,4
2,0,10,0,0,9.5,18,58.8,1,2,1,0,3
15,3,7,0,0,10.3,22.6,20.3,6,4,1,0,3
21,2,7,1,0,10.1,24.9,76.8,2,3,1,0,3
9,5,7,0,0,9.9,22.7,57,7,2,1,1,2
12,0,9,0,0,10.5,24.5,87,5,3,1,1,1
3,1,11,0,0,10.2,16,13.4,2,2,1,0,3
22,5,3,1,0,10.4,14.6,8.8,2,3,1,0,2
2,6,4,0,0,10.5,16.4,29.2,4,3,1,0,2
5,2,2,0,21.1,6.4,10.4,39.5,3,2,1,0,2
15,0,1,1,0,10.2,9.7,25.5,4,3,1,0,1
16,3,7,0,0,10.2,26.8,64.5,6,2,1,0,2
7,1,2,0,0,10.1,12.9,88.8,8,3,1,0,4
15,3,3,0,0,9.6,10.9,18.9,6,3,1,0,1
23,0,9,0,0,10,18.9,80.6,2,3,1,0,3
7,0,4,0,0,9.9,12.8,42.4,8,3,1,0,3
23,1,11,0,17.1,6.5,13.5,25.3,1,3,1,0,4
19,1,10,0,0,9.6,20.9,44,10,3,1,0,1
13,5,4,0,0,9.7,18.4,85.2,8,2,1,0,2
16,0,7,0,0,10.3,28.6,40.7,5,3,1,0,2
11,2,4,0,24.2,5.4,16.6,77.2,6,2,1,0,3
11,5,8,0,31.6,4.2,27.5,47.8,7,3,1,0,5
1,4,11,0,19.5,6.5,9.3,33,2,4,1,0,3
15,5,10,0,0,10.3,20.1,28.8,7,3,1,0,1
11,3,8,0,0,10,26.3,74.3,7,3,1,0,4
14,0,2,0,47.9,1,7.3,10.1,5,2,1,0,5
11,3,8,0,9.9,7.7,28.4,75.1,6,3,1,0,3
22,4,9,0,0,9.6,24.3,15.5,2,3,1,0,2
5,4,3,0,0,10.5,14.7,62.4,2,2,1,0,3
6,4,12,1,17.5,6.7,10.3,14.6,2,2,1,0,2
10,1,1,0,0,10,10.2,26.6,7,3,1,0,4
15,0,3,0,1.7,9.8,9.8,32.2,6,3,1,0,1
8,1,1,0,0,10.2,12.7,87.8,8,3,1,0,6
11,0,5,0,0,9.9,19.5,19.4,7,4,1,0,4
13,1,10,0,15.5,7.7,18.2,30.2,7,3,1,0,1
8,3,3,0,0,10.3,9.1,16.7,8,3,1,0,5
0,1,5,0,0,10.1,16,59.9,2,2,1,0,1
8,3,2,0,0,10,9.5,23.2,8,4,1,0,2
8,1,10,1,0,10.4,15.1,14.7,6,3,1,0,2
20,0,9,0,0,10.3,22.8,15,3,3,1,0,1
21,5,12,0,0,9.9,7.1,12.3,3,3,1,0,1
16,1,4,0,0,10.2,18.6,76.1,6,4,1,0,1
2,0,3,0,0,9.8,10.9,73.5,3,3,1,0,1
23,6,2,0,0,9.6,7.8,11.3,2,2,1,0,0
0,6,8,0,5.8,9.2,26.1,5.3,2,3,1,0,0
3,6,2,0,45.1,1.6,8.8,8.2,4,3,0,0,5
18,6,1,0,0,10.5,6.4,67.9,5,4,1,0,4
14,5,2,0,0,9.9,7.7,20.5,6,3,1,0,1
